央视,#genre#
CCTV1,http://live.nctv.top/IQRy0ip/migu.php?id=cctv1
CCTV2,http://live.nctv.top/IQRy0ip/migu.php?id=cctv2
CCTV3,http://live.nctv.top/IQRy0ip/migu.php?id=cctv3
CCTV4,http://live.nctv.top/IQRy0ip/migu.php?id=cctv4
CCTV5,http://live.nctv.top/IQRy0ip/migu.php?id=cctv5
CCTV5+,http://live.nctv.top/IQRy0ip/migu.php?id=cctv5p⁭
CCTV6,http://live.nctv.top/IQRy0ip/migu.php?id=cctv6
CCTV7,http://live.nctv.top/IQRy0ip/migu.php?id=cctv7
CCTV8,http://live.nctv.top/IQRy0ip/migu.php?id=cctv8
CCTV9,http://live.nctv.top/IQRy0ip/migu.php?id=cctv9
CCTV10,http://live.nctv.top/IQRy0ip/migu.php?id=cctv10
CCTV11,http://live.nctv.top/IQRy0ip/migu.php?id=cctv11
CCTV12,http://live.nctv.top/IQRy0ip/migu.php?id=cctv12
CCTV13,http://live.nctv.top/IQRy0ip/migu.php?id=cctv13
CCTV14,http://live.nctv.top/IQRy0ip/migu.php?id=cctv14
CCTV15,http://live.nctv.top/IQRy0ip/migu.php?id=cctv15
CCTV17,http://live.nctv.top/IQRy0ip/migu.php?id=cctv17
CCTV4-欧洲,http://live.nctv.top/IQRy0ip/migu.php?id=cctv4o
CCTV4-美洲,http://live.nctv.top/IQRy0ip/migu.php?id=cctv4a
CHC家庭影院,http://live.nctv.top/IQRy0ip/migu.php?id=chcjtyy
CHC动作电影,http://live.nctv.top/IQRy0ip/migu.php?id=chcdzdy
卫视,#genre#
东方卫视,http://live.nctv.top/IQRy0ip/migu.php?id=dfws
重庆卫视,http://live.nctv.top/IQRy0ip/migu.php?id=cqws
吉林卫视,http://live.nctv.top/IQRy0ip/migu.php?id=jlws
辽宁卫视,http://live.nctv.top/IQRy0ip/migu.php?id=lnws
内蒙古卫视,http://live.nctv.top/IQRy0ip/migu.php?id=nmws
宁夏卫视,http://live.nctv.top/IQRy0ip/migu.php?id=nxws
甘肃卫视,http://live.nctv.top/IQRy0ip/migu.php?id=gsws
青海卫视,http://live.nctv.top/IQRy0ip/migu.php?id=qhws
陕西卫视,http://live.nctv.top/IQRy0ip/migu.php?id=sxws
山东卫视,http://live.nctv.top/IQRy0ip/migu.php?id=sdws
河南卫视,http://live.nctv.top/IQRy0ip/migu.php?id=hnws
东南卫视,http://live.nctv.top/IQRy0ip/migu.php?id=dnws
海峡卫视,http://live.nctv.top/IQRy0ip/migu.php?id=hxws
湖北卫视,http://live.nctv.top/IQRy0ip/migu.php?id=hubws
湖南卫视,http://live.nctv.top/IQRy0ip/migu.php?id=hunws
江西卫视,http://live.nctv.top/IQRy0ip/migu.php?id=jxws
江苏卫视,http://live.nctv.top/IQRy0ip/migu.php?id=jsws
广东卫视,http://live.nctv.top/IQRy0ip/migu.php?id=gdws
大湾区卫视,http://live.nctv.top/IQRy0ip/migu.php?id=dwqws
广西卫视,http://live.nctv.top/IQRy0ip/migu.php?id=gxws
云南卫视,http://live.nctv.top/IQRy0ip/migu.php?id=ynws
贵州卫视,http://live.nctv.top/IQRy0ip/migu.php?id=gzws
新疆卫视,http://live.nctv.top/IQRy0ip/migu.php?id=xjws
西藏卫视,http://live.nctv.top/IQRy0ip/migu.php?id=xzws
海南卫视,http://live.nctv.top/IQRy0ip/migu.php?id=hinws
港台,#genre#
凤凰卫视中文台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰卫视资讯台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
