央视,#genre#
CCTV1 综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2 财经,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3 综艺,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4 国际,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5 体育,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV6 电影,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7 军事,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8 电视,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9 纪录,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10 科教,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11 戏曲,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12 法治,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13 新闻,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14 少儿,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
卫视,#genre#
北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
广东卫视,http://iptv.huuc.edu.cn/hls/gdhd.m3u8
天津卫视,http://iptv.huuc.edu.cn/hls/tjhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
河北卫视,http://iptv.huuc.edu.cn/hls/hebhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8
港台,#genre#
凤凰卫视中文台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰卫视资讯台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视香港台,http://php.jdshipin.com/TVOD/iptv.php?id=fhxg
